COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-046,文翠里,0.56,15.79,10.53,5.26,49.98,110Y12M
65000,新北市,65000010,板橋區,65000010-047,青翠里,0.5,50,30,20,66.64,110Y12M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,0.61,18.75,9.37,9.37,99.97,110Y12M
65000,新北市,65000010,板橋區,65000010-049,福翠里,0.07,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,0.76,58.62,37.93,20.69,54.54,110Y12M
65000,新北市,65000010,板橋區,65000010-051,振興里,0.41,50,50,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-052,振義里,1,40,36.67,3.33,9.09,110Y12M
65000,新北市,65000010,板橋區,65000010-053,光復里,1.18,29.03,16.13,12.9,79.98,110Y12M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,0.51,39.13,26.09,13.04,49.99,110Y12M
65000,新北市,65000010,板橋區,65000010-055,長壽里,0.58,41.66,16.67,25,149.93,110Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,0.4,30,30,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-057,海山里,0.34,55.55,50,5.56,11.11,110Y12M
65000,新北市,65000010,板橋區,65000010-058,九如里,0.88,85.71,85.71,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-059,玉光里,0.51,52.63,47.37,5.26,11.11,110Y12M
65000,新北市,65000010,板橋區,65000010-060,光仁里,0.27,59.99,59.99,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,0.29,40,40,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-062,永安里,1.31,35.13,27.03,8.11,30,110Y12M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,0.43,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-064,廣新里,0.81,50,40,10,25,110Y12M
65000,新北市,65000010,板橋區,65000010-065,深丘里,0.38,75,60,15,25,110Y12M
65000,新北市,65000010,板橋區,65000010-066,香丘里,0.45,63.63,45.45,18.18,39.99,110Y12M
65000,新北市,65000010,板橋區,65000010-067,西安里,0.6,21.43,21.43,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-068,東丘里,0.94,158.81,152.93,5.88,3.85,110Y12M
65000,新北市,65000010,板橋區,65000010-069,長安里,0.86,40,33.33,6.67,20,110Y12M
65000,新北市,65000010,板橋區,65000010-070,福丘里,0.49,47.06,47.06,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-071,福祿里,0.46,26.66,26.66,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-072,民族里,0.73,56,52,4,7.69,110Y12M
65000,新北市,65000010,板橋區,65000010-073,國泰里,0.58,15.79,10.53,5.26,49.98,110Y12M
65000,新北市,65000010,板橋區,65000010-074,福德里,0.41,5,5,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-075,景星里,0.84,31.82,22.73,9.09,39.99,110Y12M
65000,新北市,65000010,板橋區,65000010-076,福星里,0.23,99.98,74.98,24.99,33.32,110Y12M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,0.26,25,12.5,12.5,99.9,110Y12M
65000,新北市,65000010,板橋區,65000010-078,廣德里,0.68,34.28,31.43,2.86,9.09,110Y12M
65000,新北市,65000010,板橋區,65000010-079,大豐里,0.81,46.15,23.08,23.08,99.98,110Y12M
65000,新北市,65000010,板橋區,65000010-080,重慶里,1.05,40.91,31.82,9.09,28.57,110Y12M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,1.08,32,20,12,59.99,110Y12M
65000,新北市,65000010,板橋區,65000010-082,和平里,0.62,68.75,68.75,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-083,廣福里,1,32.26,29.03,3.23,11.11,110Y12M
65000,新北市,65000010,板橋區,65000010-084,華興里,0.85,33.33,29.63,3.7,12.5,110Y12M
65000,新北市,65000010,板橋區,65000010-085,華貴里,0.66,13.33,13.33,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-086,華德里,0.82,47.5,32.5,15,46.15,110Y12M
65000,新北市,65000010,板橋區,65000010-087,華東里,0.38,57.89,47.37,10.53,22.22,110Y12M
65000,新北市,65000010,板橋區,65000010-088,信義里,0.74,37.5,29.17,8.33,28.57,110Y12M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,1.4,29.27,7.32,21.95,299.9,110Y12M
65000,新北市,65000010,板橋區,65000010-090,華中里,1.31,39.21,23.53,15.69,66.66,110Y12M
65000,新北市,65000010,板橋區,65000010-091,僑中里,1.29,30.23,20.93,9.3,44.44,110Y12M
65000,新北市,65000010,板橋區,65000010-092,中山里,1.13,26.56,21.87,4.69,21.43,110Y12M
65000,新北市,65000010,板橋區,65000010-093,復興里,0.83,59.99,20,39.99,199.8,110Y12M
65000,新北市,65000010,板橋區,65000010-094,大安里,1.26,50,32.35,17.65,54.54,110Y12M
65000,新北市,65000010,板橋區,65000010-095,福安里,1.15,34.37,23.44,10.94,46.66,110Y12M
65000,新北市,65000010,板橋區,65000010-096,聚安里,1.62,30.3,21.21,9.09,42.85,110Y12M
65000,新北市,65000010,板橋區,65000010-097,龍安里,0.91,36.84,21.05,15.79,74.98,110Y12M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,1.85,32.17,27.27,4.9,17.95,110Y12M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,3.66,34.94,26.51,8.43,31.82,110Y12M
65000,新北市,65000010,板橋區,65000010-100,溪北里,2.18,33.9,32.2,1.69,5.26,110Y12M
65000,新北市,65000010,板橋區,65000010-101,香雅里,0.78,22.22,16.67,5.56,33.32,110Y12M
65000,新北市,65000010,板橋區,65000010-102,新生里,1.1,45.45,36.36,9.09,25,110Y12M
65000,新北市,65000010,板橋區,65000010-103,文德里,0.16,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-104,文化里,0.35,33.33,33.33,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-105,新海里,0.43,50,50,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-106,莒光里,0.28,33.33,33.33,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-107,富貴里,0.17,33.32,0,33.32,0,110Y12M
65000,新北市,65000010,板橋區,65000010-108,正泰里,0.39,33.33,33.33,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-109,民生里,0.73,30.77,15.38,15.38,99.95,110Y12M
65000,新北市,65000010,板橋區,65000010-110,後埔里,0.53,25,18.75,6.25,33.32,110Y12M
65000,新北市,65000010,板橋區,65000010-111,華福里,0.55,37.5,0,37.5,0,110Y12M
65000,新北市,65000010,板橋區,65000010-112,堂春里,1.72,16.92,12.31,4.62,37.5,110Y12M
65000,新北市,65000010,板橋區,65000010-113,成和里,1.84,28.04,25.23,2.8,11.11,110Y12M
65000,新北市,65000010,板橋區,65000010-114,光榮里,1.07,75,62.5,12.5,20,110Y12M
65000,新北市,65000010,板橋區,65000010-115,民安里,0.32,16.66,16.66,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-116,陽明里,0.3,99.98,99.98,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-117,朝陽里,0.99,47.82,47.82,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-118,松柏里,0.35,14.28,0,14.28,0,110Y12M
65000,新北市,65000010,板橋區,65000010-119,文聖里,0.62,38.89,27.78,11.11,39.99,110Y12M
65000,新北市,65000010,板橋區,65000010-120,居仁里,0.52,16.67,11.11,5.56,49.98,110Y12M
65000,新北市,65000010,板橋區,65000010-121,莊敬里,0.33,36.36,27.27,9.09,33.32,110Y12M
65000,新北市,65000010,板橋區,65000010-122,東安里,0.31,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-123,五權里,1.19,38.89,33.33,5.56,16.67,110Y12M
65000,新北市,65000010,板橋區,65000010-124,溪福里,2.33,26.84,22.79,4.04,17.74,110Y12M
65000,新北市,65000010,板橋區,65000010-125,大觀里,0.69,44.44,44.44,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-126,歡園里,0.88,10,10,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-001,大有里,0.71,31.03,24.14,6.9,28.57,110Y12M
65000,新北市,65000020,三重區,65000020-002,二重里,1.34,10,10,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-003,頂崁里,0.81,57.14,57.14,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-004,谷王里,0.69,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-005,中興里,0.91,37.04,29.63,7.41,25,110Y12M
65000,新北市,65000020,三重區,65000020-006,德厚里,0.27,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-007,成功里,0.63,34.37,18.75,15.62,83.32,110Y12M
65000,新北市,65000020,三重區,65000020-008,福祉里,1.25,12.31,12.31,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-009,福民里,0.57,42.85,42.85,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-010,過田里,0.61,25,20.83,4.17,20,110Y12M
65000,新北市,65000020,三重區,65000020-011,錦田里,0.65,74.99,62.49,12.5,20,110Y12M
65000,新北市,65000020,三重區,65000020-012,重明里,0.34,18.18,18.18,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-013,光田里,0.65,38.09,28.57,9.52,33.33,110Y12M
65000,新北市,65000020,三重區,65000020-014,光陽里,0.6,18.75,18.75,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-015,田心里,0.85,16.67,16.67,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-016,福田里,0.78,50,33.33,16.67,49.99,110Y12M
65000,新北市,65000020,三重區,65000020-017,田中里,0.55,38.46,26.92,11.54,42.85,110Y12M
65000,新北市,65000020,三重區,65000020-018,田安里,0.72,28.57,22.86,5.71,25,110Y12M
65000,新北市,65000020,三重區,65000020-019,三民里,0.93,60,60,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-020,光明里,0.47,28.57,21.43,7.14,33.33,110Y12M
65000,新北市,65000020,三重區,65000020-021,光正里,0.37,42.85,28.57,14.28,49.98,110Y12M
65000,新北市,65000020,三重區,65000020-022,同安里,1.98,26.09,13.04,13.04,99.97,110Y12M
