COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A9_M_CNT,A0A9_F_CNT,A10A19_M_CNT,A10A19_F_CNT,A20A29_M_CNT,A20A29_F_CNT,A30A39_M_CNT,A30A39_F_CNT,A40A49_M_CNT,A40A49_F_CNT,A50A59_M_CNT,A50A59_F_CNT,A60A69_M_CNT,A60A69_F_CNT,A70A79_M_CNT,A70A79_F_CNT,A80A89_M_CNT,A80A89_F_CNT,A90A99_M_CNT,A90A99_F_CNT,A100UP_M_CNT,A100UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民0-9歲男性人口數,原住民0-9歲女性人口數,原住民10-19歲男性人口數,原住民10-19歲女性人口數,原住民20-29歲男性人口數,原住民20-29歲女性人口數,原住民30-39歲男性人口數,原住民30-39歲女性人口數,原住民40-49歲男性人口數,原住民40-49歲女性人口數,原住民50-59歲男性人口數,原住民50-59歲女性人口數,原住民60-69歲男性人口數,原住民60-69歲女性人口數,原住民70-79歲男性人口數,原住民70-79歲女性人口數,原住民80-89歲男性人口數,原住民80-89歲女性人口數,原住民90-99歲男性人口數,原住民90-99歲女性人口數,原住民100歲以上男性人口數,原住民100歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-110,後埔里,1,2,0,0,2,1,1,3,2,2,1,3,0,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-111,華福里,0,0,0,2,0,2,0,1,0,1,0,2,0,0,1,1,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-112,堂春里,2,3,3,9,11,12,2,7,6,1,7,6,2,3,0,1,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-113,成和里,7,8,14,12,15,17,11,9,11,16,4,9,0,2,0,2,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-114,光榮里,7,1,2,0,2,3,4,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-115,民安里,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-116,陽明里,1,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-117,朝陽里,4,6,4,2,3,3,1,2,3,2,0,2,1,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-118,松柏里,0,0,0,1,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-119,文聖里,0,5,1,0,1,2,1,3,2,3,0,2,2,2,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-120,居仁里,0,1,3,1,2,3,2,2,0,1,1,3,0,2,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-121,莊敬里,1,1,3,1,0,1,1,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-122,東安里,0,0,3,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-123,五權里,3,5,11,1,0,6,2,4,8,3,0,4,1,1,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-124,溪福里,20,20,24,26,36,31,35,21,23,28,18,30,13,16,1,3,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-125,大觀里,3,4,2,0,3,2,2,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-126,歡園里,0,1,1,1,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-001,大有里,4,2,3,2,4,3,3,6,2,0,2,2,1,4,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-002,二重里,1,1,1,0,3,2,3,3,0,1,1,6,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-003,頂崁里,2,3,1,4,4,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-004,谷王里,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-005,中興里,0,0,6,5,7,2,1,1,3,3,2,4,0,2,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-006,德厚里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-007,成功里,2,3,3,1,3,6,2,2,2,8,2,2,1,4,1,0,0,1,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-008,福祉里,1,5,21,2,24,5,4,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-009,福民里,2,3,1,0,2,4,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-010,過田里,1,4,4,4,9,3,6,7,2,9,3,5,1,1,0,0,1,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-011,錦田里,1,3,1,1,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-012,重明里,1,1,0,0,0,1,1,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000020,三重區,65000020-013,光田里,3,2,0,2,3,2,0,7,0,4,1,1,1,2,0,0,0,1,0,0,0,0,110Y12M
