sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09020020-003,2020,金門縣,金沙鎮,大洋里,1266,410,630,636,['09020020-003']
SAU_09020020-003,2021,金門縣,金沙鎮,大洋里,1279,421,645,634,['09020020-003']
SAU_09020020-003,2022,金門縣,金沙鎮,大洋里,1309,441,666,643,['09020020-003']
SAU_09020020-003,2023,金門縣,金沙鎮,大洋里,1321,446,667,654,['09020020-003']
SAU_09020020-003,2024,金門縣,金沙鎮,大洋里,1418,460,745,673,['09020020-003']
SAU_09020020-004,2018,金門縣,金沙鎮,光前里,2636,867,1312,1324,['09020020-004']
SAU_09020020-004,2019,金門縣,金沙鎮,光前里,2600,872,1297,1303,['09020020-004']
SAU_09020020-004,2020,金門縣,金沙鎮,光前里,2607,887,1303,1304,['09020020-004']
SAU_09020020-004,2021,金門縣,金沙鎮,光前里,2609,896,1280,1329,['09020020-004']
SAU_09020020-004,2022,金門縣,金沙鎮,光前里,2613,908,1274,1339,['09020020-004']
SAU_09020020-004,2023,金門縣,金沙鎮,光前里,2695,931,1319,1376,['09020020-004']
SAU_09020020-004,2024,金門縣,金沙鎮,光前里,2662,934,1314,1348,['09020020-004']
SAU_09020020-005,2018,金門縣,金沙鎮,何斗里,2227,680,1090,1137,['09020020-005']
SAU_09020020-005,2019,金門縣,金沙鎮,何斗里,2227,691,1097,1130,['09020020-005']
SAU_09020020-005,2020,金門縣,金沙鎮,何斗里,2225,705,1084,1141,['09020020-005']
SAU_09020020-005,2021,金門縣,金沙鎮,何斗里,2261,724,1096,1165,['09020020-005']
SAU_09020020-005,2022,金門縣,金沙鎮,何斗里,2253,731,1088,1165,['09020020-005']
SAU_09020020-005,2023,金門縣,金沙鎮,何斗里,2275,735,1106,1169,['09020020-005']
SAU_09020020-005,2024,金門縣,金沙鎮,何斗里,2274,744,1096,1178,['09020020-005']
SAU_09020020-006,2018,金門縣,金沙鎮,西園里,1696,487,873,823,['09020020-006']
SAU_09020020-006,2019,金門縣,金沙鎮,西園里,1722,499,882,840,['09020020-006']
