COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-118,松柏里,7,1,6,6,0,6,1,1,0,2251,111Y12M
65000,新北市,65000010,板橋區,65000010-119,文聖里,25,10,15,13,6,7,12,4,8,3934,111Y12M
65000,新北市,65000010,板橋區,65000010-120,居仁里,24,11,13,10,6,4,14,5,9,3997,111Y12M
65000,新北市,65000010,板橋區,65000010-121,莊敬里,17,6,11,10,3,7,7,3,4,4507,111Y12M
65000,新北市,65000010,板橋區,65000010-122,東安里,9,5,4,3,1,2,6,4,2,2555,111Y12M
65000,新北市,65000010,板橋區,65000010-123,五權里,62,34,28,37,19,18,25,15,10,4100,111Y12M
65000,新北市,65000010,板橋區,65000010-124,溪福里,323,161,162,267,134,133,56,27,29,14312,111Y12M
65000,新北市,65000010,板橋區,65000010-125,大觀里,21,7,14,13,5,8,8,2,6,3659,111Y12M
65000,新北市,65000010,板橋區,65000010-126,歡園里,11,2,9,9,1,8,2,1,1,1192,111Y12M
65000,新北市,65000020,三重區,65000020-001,大有里,38,16,22,29,9,20,9,7,2,5247,111Y12M
65000,新北市,65000020,三重區,65000020-002,二重里,21,8,13,11,4,7,10,4,6,1596,111Y12M
65000,新北市,65000020,三重區,65000020-003,頂崁里,21,9,12,15,6,9,6,3,3,2684,111Y12M
65000,新北市,65000020,三重區,65000020-004,谷王里,10,3,7,3,1,2,7,2,5,1423,111Y12M
65000,新北市,65000020,三重區,65000020-005,中興里,31,17,14,25,14,11,6,3,3,3969,111Y12M
65000,新北市,65000020,三重區,65000020-006,德厚里,2,2,0,2,2,0,0,0,0,495,111Y12M
65000,新北市,65000020,三重區,65000020-007,成功里,52,21,31,35,16,19,17,5,12,7338,111Y12M
65000,新北市,65000020,三重區,65000020-008,福祉里,71,48,23,48,33,15,23,15,8,5867,111Y12M
65000,新北市,65000020,三重區,65000020-009,福民里,19,7,12,11,5,6,8,2,6,3409,111Y12M
65000,新北市,65000020,三重區,65000020-010,過田里,70,35,35,49,26,23,21,9,12,9658,111Y12M
65000,新北市,65000020,三重區,65000020-011,錦田里,15,4,11,5,0,5,10,4,6,2144,111Y12M
65000,新北市,65000020,三重區,65000020-012,重明里,19,8,11,9,5,4,10,3,7,3879,111Y12M
65000,新北市,65000020,三重區,65000020-013,光田里,29,8,21,20,6,14,9,2,7,4370,111Y12M
65000,新北市,65000020,三重區,65000020-014,光陽里,40,23,17,33,19,14,7,4,3,6291,111Y12M
65000,新北市,65000020,三重區,65000020-015,田心里,31,9,22,18,6,12,13,3,10,4052,111Y12M
65000,新北市,65000020,三重區,65000020-016,福田里,25,15,10,16,8,8,9,7,2,3390,111Y12M
