COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000020,三重區,65000020-047,正德里,98,53,45,727,365,362,281,132,149,112Y12M
65000,新北市,65000020,三重區,65000020-048,正義里,188,100,88,1214,622,592,389,176,213,112Y12M
65000,新北市,65000020,三重區,65000020-049,正安里,167,87,80,1309,633,676,432,193,239,112Y12M
65000,新北市,65000020,三重區,65000020-050,自強里,163,83,80,1228,602,626,425,188,237,112Y12M
65000,新北市,65000020,三重區,65000020-051,文化里,190,102,88,1476,758,718,545,245,300,112Y12M
65000,新北市,65000020,三重區,65000020-052,中央里,180,91,89,1271,644,627,415,173,242,112Y12M
65000,新北市,65000020,三重區,65000020-053,雙園里,94,37,57,674,332,342,189,91,98,112Y12M
65000,新北市,65000020,三重區,65000020-054,錦通里,94,49,45,914,464,450,407,165,242,112Y12M
65000,新北市,65000020,三重區,65000020-055,錦安里,134,66,68,1237,610,627,461,194,267,112Y12M
65000,新北市,65000020,三重區,65000020-056,長安里,178,99,79,1443,729,714,466,203,263,112Y12M
65000,新北市,65000020,三重區,65000020-057,光華里,166,92,74,1740,821,919,476,202,274,112Y12M
65000,新北市,65000020,三重區,65000020-058,長生里,61,31,30,641,321,320,188,89,99,112Y12M
65000,新北市,65000020,三重區,65000020-059,開元里,123,60,63,1221,625,596,364,167,197,112Y12M
65000,新北市,65000020,三重區,65000020-060,大德里,55,27,28,573,284,289,188,76,112,112Y12M
65000,新北市,65000020,三重區,65000020-061,長元里,190,111,79,1758,908,850,511,228,283,112Y12M
65000,新北市,65000020,三重區,65000020-062,長江里,151,76,75,1422,714,708,411,182,229,112Y12M
65000,新北市,65000020,三重區,65000020-063,長泰里,174,97,77,1523,776,747,527,234,293,112Y12M
65000,新北市,65000020,三重區,65000020-064,長福里,124,56,68,1147,547,600,297,129,168,112Y12M
65000,新北市,65000020,三重區,65000020-065,介壽里,103,55,48,782,401,381,269,121,148,112Y12M
65000,新北市,65000020,三重區,65000020-066,萬壽里,150,81,69,1419,713,706,418,193,225,112Y12M
65000,新北市,65000020,三重區,65000020-067,錦江里,176,100,76,1701,860,841,465,205,260,112Y12M
65000,新北市,65000020,三重區,65000020-068,龍濱里,305,136,169,2414,1230,1184,593,247,346,112Y12M
65000,新北市,65000020,三重區,65000020-069,龍門里,170,88,82,1402,711,691,360,160,200,112Y12M
65000,新北市,65000020,三重區,65000020-070,秀江里,117,62,55,887,447,440,240,99,141,112Y12M
65000,新北市,65000020,三重區,65000020-071,奕壽里,168,79,89,1175,563,612,372,153,219,112Y12M
65000,新北市,65000020,三重區,65000020-072,三安里,216,128,88,1817,886,931,591,256,335,112Y12M
65000,新北市,65000020,三重區,65000020-073,福安里,236,121,115,2172,1075,1097,585,252,333,112Y12M
65000,新北市,65000020,三重區,65000020-074,信安里,188,91,97,1493,729,764,378,163,215,112Y12M
65000,新北市,65000020,三重區,65000020-075,安慶里,165,87,78,1434,694,740,444,187,257,112Y12M
65000,新北市,65000020,三重區,65000020-076,幸福里,424,211,213,3295,1684,1611,901,380,521,112Y12M
65000,新北市,65000020,三重區,65000020-077,六合里,323,188,135,2692,1369,1323,762,335,427,112Y12M
65000,新北市,65000020,三重區,65000020-078,六福里,849,444,405,4048,2009,2039,983,438,545,112Y12M
65000,新北市,65000020,三重區,65000020-079,順德里,188,89,99,1549,822,727,469,209,260,112Y12M
65000,新北市,65000020,三重區,65000020-080,承德里,117,71,46,1243,635,608,388,172,216,112Y12M
65000,新北市,65000020,三重區,65000020-081,瑞德里,230,124,106,1678,854,824,492,204,288,112Y12M
65000,新北市,65000020,三重區,65000020-082,崇德里,362,190,172,2752,1429,1323,814,351,463,112Y12M
65000,新北市,65000020,三重區,65000020-083,厚德里,432,241,191,2543,1249,1294,655,307,348,112Y12M
65000,新北市,65000020,三重區,65000020-084,維德里,321,182,139,1968,979,989,572,253,319,112Y12M
65000,新北市,65000020,三重區,65000020-085,尚德里,315,160,155,2106,1012,1094,643,272,371,112Y12M
65000,新北市,65000020,三重區,65000020-086,培德里,450,211,239,2601,1302,1299,754,340,414,112Y12M
65000,新北市,65000020,三重區,65000020-087,永德里,576,287,289,3395,1718,1677,913,377,536,112Y12M
65000,新北市,65000020,三重區,65000020-088,永盛里,413,187,226,2201,1104,1097,649,275,374,112Y12M
65000,新北市,65000020,三重區,65000020-089,永福里,701,351,350,3711,1808,1903,913,402,511,112Y12M
65000,新北市,65000020,三重區,65000020-090,永清里,681,344,337,3777,1859,1918,979,432,547,112Y12M
65000,新北市,65000020,三重區,65000020-091,永安里,510,257,253,2909,1422,1487,697,303,394,112Y12M
